dataset,method,level,seed,selected_run_path,WorstDrop
cifar10,clpu,very_low,0,runs/cifar10/T5_F3/clpu/seed_0/20260712_025820,0
cifar10,clpu,very_low,1,runs/cifar10/T5_F3/clpu/seed_1/20260712_081421,0
cifar10,clpu,very_low,2,runs/cifar10/T5_F3/clpu/seed_2/20260808_032204,0
cifar10,clpu,very_low,3,runs/cifar10/T5_F3/clpu/seed_3/20260808_084255,0
cifar10,clpu,very_low,4,runs/cifar10/T5_F3/clpu/seed_4/20260808_140353,0
cifar10,clpu,low,0,runs/cifar10/T5_F3/clpu/seed_0/20260712_040143,0
cifar10,clpu,low,1,runs/cifar10/T5_F3/clpu/seed_1/20260712_091741,0
cifar10,clpu,low,2,runs/cifar10/T5_F3/clpu/seed_2/20260808_042627,0
cifar10,clpu,low,3,runs/cifar10/T5_F3/clpu/seed_3/20260808_094702,0
cifar10,clpu,low,4,runs/cifar10/T5_F3/clpu/seed_4/20260808_150804,0
cifar10,clpu,medium,0,runs/cifar10/T5_F3/clpu/seed_0/20260712_050458,0
cifar10,clpu,medium,1,runs/cifar10/T5_F3/clpu/seed_1/20260712_102048,0
cifar10,clpu,medium,2,runs/cifar10/T5_F3/clpu/seed_2/20260808_053021,0
cifar10,clpu,medium,3,runs/cifar10/T5_F3/clpu/seed_3/20260808_105126,0
cifar10,clpu,medium,4,runs/cifar10/T5_F3/clpu/seed_4/20260808_161214,0
cifar10,clpu,high,0,runs/cifar10/T5_F3/clpu/seed_0/20260712_060810,0
cifar10,clpu,high,1,runs/cifar10/T5_F3/clpu/seed_1/20260712_112401,0
cifar10,clpu,high,2,runs/cifar10/T5_F3/clpu/seed_2/20260808_063435,0
cifar10,clpu,high,3,runs/cifar10/T5_F3/clpu/seed_3/20260808_115533,0
cifar10,clpu,high,4,runs/cifar10/T5_F3/clpu/seed_4/20260808_171648,0
cifar10,clpu,very_high,0,runs/cifar10/T5_F3/clpu/seed_0/20260712_071110,0
cifar10,clpu,very_high,1,runs/cifar10/T5_F3/clpu/seed_1/20260712_122716,0
cifar10,clpu,very_high,2,runs/cifar10/T5_F3/clpu/seed_2/20260808_073827,0
cifar10,clpu,very_high,3,runs/cifar10/T5_F3/clpu/seed_3/20260808_125945,0
cifar10,clpu,very_high,4,runs/cifar10/T5_F3/clpu/seed_4/20260808_182116,0
cifar10,lora,very_low,0,runs/cifar10/T5_F3/lora/seed_0/20260712_025653,0.007499992847442627
cifar10,lora,very_low,1,runs/cifar10/T5_F3/lora/seed_1/20260712_081255,-0.017999947071075439
cifar10,lora,very_low,2,runs/cifar10/T5_F3/lora/seed_2/20260808_032037,-0.039000034332275391
cifar10,lora,very_low,3,runs/cifar10/T5_F3/lora/seed_3/20260808_084127,-0.002499997615814209
cifar10,lora,very_low,4,runs/cifar10/T5_F3/lora/seed_4/20260808_140225,0.014500021934509277
cifar10,lora,low,0,runs/cifar10/T5_F3/lora/seed_0/20260712_040017,0.007499992847442627
cifar10,lora,low,1,runs/cifar10/T5_F3/lora/seed_1/20260712_091615,0.0020000338554382324
cifar10,lora,low,2,runs/cifar10/T5_F3/lora/seed_2/20260808_042458,-0.00099998712539672852
cifar10,lora,low,3,runs/cifar10/T5_F3/lora/seed_3/20260808_094533,-0.002499997615814209
cifar10,lora,low,4,runs/cifar10/T5_F3/lora/seed_4/20260808_150635,0.014500021934509277
cifar10,lora,medium,0,runs/cifar10/T5_F3/lora/seed_0/20260712_050330,-0.053499996662139893
cifar10,lora,medium,1,runs/cifar10/T5_F3/lora/seed_1/20260712_101920,0.0020000338554382324
cifar10,lora,medium,2,runs/cifar10/T5_F3/lora/seed_2/20260808_052854,-0.00099998712539672852
cifar10,lora,medium,3,runs/cifar10/T5_F3/lora/seed_3/20260808_104958,-0.032499969005584717
cifar10,lora,medium,4,runs/cifar10/T5_F3/lora/seed_4/20260808_161047,0.004999995231628418
cifar10,lora,high,0,runs/cifar10/T5_F3/lora/seed_0/20260712_060643,0.0034999847412109375
cifar10,lora,high,1,runs/cifar10/T5_F3/lora/seed_1/20260712_112233,0.0020000338554382324
cifar10,lora,high,2,runs/cifar10/T5_F3/lora/seed_2/20260808_063307,-0.00099998712539672852
cifar10,lora,high,3,runs/cifar10/T5_F3/lora/seed_3/20260808_115404,0.018999993801116943
cifar10,lora,high,4,runs/cifar10/T5_F3/lora/seed_4/20260808_171519,0.00099998712539672852
cifar10,lora,very_high,0,runs/cifar10/T5_F3/lora/seed_0/20260712_070944,0.0034999847412109375
cifar10,lora,very_high,1,runs/cifar10/T5_F3/lora/seed_1/20260712_122550,0.0020000338554382324
cifar10,lora,very_high,2,runs/cifar10/T5_F3/lora/seed_2/20260808_073658,-0.00099998712539672852
cifar10,lora,very_high,3,runs/cifar10/T5_F3/lora/seed_3/20260808_125818,0.018999993801116943
