dataset,method,experiment_tag,seed,final_avg_acc,avg_forgetting,Fu,WorstDrop,Au,updated_param_ratio,adapter_param_ratio,S_share,S_share_crit,S_share_ratio,S_share_crit_ratio
cifar100,pall_adapter,ablation_cifar100_adapter_no_shared_e3_v1,0,0.400857,0.056400,-0.004857,0.002000,0.158000,0.011685,0.014437,0,0,0.000000,0.000000
cifar100,pall_adapter,ablation_cifar100_adapter_no_shared_e3_v1,1,0.385429,0.073111,-0.002000,0.002000,0.210000,0.010016,0.014437,0,0,0.000000,0.000000
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_p005_e3_v1,0,0.417714,0.081800,0.002000,0.014000,0.154000,0.013110,0.015858,16384,561,0.500000,0.034241
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_p005_e3_v1,1,0.419429,0.074222,-0.001333,0.004000,0.178000,0.011443,0.015858,16384,677,0.500000,0.041321
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_p010_e3_v1,0,0.424000,0.080400,0.000286,0.010000,0.140000,0.013110,0.015858,16384,1088,0.500000,0.066406
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_p010_e3_v1,1,0.414857,0.075778,-0.000333,0.004000,0.192000,0.011443,0.015858,16384,1332,0.500000,0.081299
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_p020_e3_v1,0,0.429143,0.079200,-0.003714,0.008000,0.144000,0.013110,0.015858,16384,2224,0.500000,0.135742
cifar100,pall_adapter,ablation_cifar100_adapter_shared_critical_p020_e3_v1,1,0.387714,0.091333,-0.000333,0.002000,0.184000,0.011443,0.015858,16384,2341,0.500000,0.142883
cifar100,pall_adapter,ablation_cifar100_adapter_shared_no_protection_e3_v1,0,0.425429,0.079600,0.000286,0.010000,0.144000,0.013110,0.015858,16384,0,0.500000,0.000000
cifar100,pall_adapter,ablation_cifar100_adapter_shared_no_protection_e3_v1,1,0.415143,0.070667,-0.001333,0.002000,0.198000,0.011443,0.015858,16384,0,0.500000,0.000000
