dataset,method,final_avg_acc,avg_forgetting,Fu,WorstDrop,Au,updated_param_ratio_mean,adapter_param_ratio_mean,t_forget_total_mean
cifar10,derpp,0.9244 +/- 0.0167,0.2399 +/- 0.1772,0.0061 +/- 0.0057,0.0158 +/- 0.0110,0.2678 +/- 0.1863,,0.0000,1.0663
cifar10,er,0.8864 +/- 0.0277,0.2278 +/- 0.1534,0.0307 +/- 0.0056,0.0557 +/- 0.0194,0.5318 +/- 0.0442,,0.0000,0.6786
cifar10,pall_adapter,0.8057 +/- 0.0054,0.0916 +/- 0.0821,-0.0369 +/- 0.0280,-0.0050 +/- 0.0028,0.5000 +/- 0.0000,0.0061,0.0087,3.1905
cifar10,pall_modified,0.9301 +/- 0.0094,0.1507 +/- 0.1170,0.0004 +/- 0.0005,0.0008 +/- 0.0011,0.5005 +/- 0.0007,0.0475,0.0000,0.2072
cifar10,pall_original,0.9166 +/- 0.0209,0.1583 +/- 0.1217,0.0056 +/- 0.0003,0.0160 +/- 0.0057,0.5000 +/- 0.0000,0.0475,0.0000,0.1815
cifar100,derpp,0.5371 +/- 0.0097,0.1040 +/- 0.0246,0.0213 +/- 0.0014,0.0440 +/- 0.0028,0.3590 +/- 0.0071,,0.0000,1.4231
cifar100,er,0.4657 +/- 0.0675,0.1854 +/- 0.0368,0.0734 +/- 0.0142,0.1400 +/- 0.0226,0.1870 +/- 0.0127,,0.0000,0.9085
cifar100,pall_adapter,0.4084 +/- 0.0293,0.0853 +/- 0.0086,-0.0020 +/- 0.0024,0.0050 +/- 0.0042,0.1640 +/- 0.0283,0.0123,0.0159,1.6078
cifar100,pall_modified,0.5377 +/- 0.0299,0.1045 +/- 0.0267,-0.0071 +/- 0.0021,0.0140 +/- 0.0085,0.2120 +/- 0.0170,0.0763,0.0000,11.0171
cifar100,pall_original,0.4233 +/- 0.0297,0.1611 +/- 0.0013,0.0294 +/- 0.0109,0.0710 +/- 0.0212,0.2250 +/- 0.0354,0.0763,0.0000,0.1825
