dataset,method,experiment_tag,adapter_shared_bottleneck,adapter_shared_forget_ratio,adapter_shared_protect_ratio,adapter_shared_forget_lr,adapter_shared_protect_strength,retrain_steps,adapter_train_classifier,final_avg_acc_mean,final_avg_acc_std,avg_forgetting_mean,avg_forgetting_std,Fu_mean,Fu_std,WorstDrop_mean,WorstDrop_std,Au_mean,Au_std,unlearning_score_mean,unlearning_score_std,t_retrain_mean,t_forget_total_mean,updated_param_ratio_mean,adapter_param_ratio_mean
cifar10,derpp,thesis_c10_main_compare_v1,0,0.0,0.0,,,,False,0.9244,0.0167,0.2399,0.1772,0.0061,0.0057,0.0158,0.0110,0.2678,0.1863,,,0.0000,1.0663,,0.0000
cifar10,er,thesis_c10_main_compare_v1,0,0.0,0.0,,,,False,0.8864,0.0277,0.2278,0.1534,0.0307,0.0056,0.0557,0.0194,0.5318,0.0442,,,0.0000,0.6786,,0.0000
cifar10,pall_adapter,thesis_adapter_bestcfg_c10_v1,16,0.3,0.2,,,,True,0.8057,0.0054,0.0916,0.0821,-0.0369,0.0280,-0.0050,0.0028,0.5000,0.0000,-0.0375,0.0283,0.0109,3.1905,0.0061,0.0087
cifar10,pall_modified,thesis_c10_main_compare_v1,0,0.0,0.0,,,,False,0.9301,0.0094,0.1507,0.1170,0.0004,0.0005,0.0008,0.0011,0.5005,0.0007,-0.0238,0.0081,0.2058,0.2072,0.0475,0.0000
cifar10,pall_original,thesis_c10_main_compare_v1,0,0.0,0.0,,,,False,0.9166,0.0209,0.1583,0.1217,0.0056,0.0003,0.0160,0.0057,0.5000,0.0000,-0.0262,0.0112,0.1801,0.1815,0.0475,0.0000
cifar100,derpp,thesis_c100_main_compare_v1,0,0.0,0.0,,,,False,0.5371,0.0097,0.1040,0.0246,0.0213,0.0014,0.0440,0.0028,0.3590,0.0071,,,0.0000,1.4231,,0.0000
cifar100,er,thesis_c100_main_compare_v1,0,0.0,0.0,,,,False,0.4657,0.0675,0.1854,0.0368,0.0734,0.0142,0.1400,0.0226,0.1870,0.0127,,,0.0000,0.9085,,0.0000
cifar100,pall_adapter,c100_main_compare_v1,16,0.3,0.2,,,,True,0.4084,0.0293,0.0853,0.0086,-0.0020,0.0024,0.0050,0.0042,0.1640,0.0283,-0.0107,0.0051,0.0186,1.6054,0.0123,0.0159
cifar100,pall_adapter,thesis_adapter_bestcfg_c100_v1,16,0.3,0.2,,,,True,0.4084,0.0293,0.0853,0.0086,-0.0020,0.0024,0.0050,0.0042,0.1640,0.0283,-0.0107,0.0051,0.0193,1.6078,0.0123,0.0159
cifar100,pall_modified,c100_main_compare_v1,0,0.0,0.0,,,50,False,0.5377,0.0299,0.1045,0.0267,-0.0071,0.0021,0.0140,0.0085,0.2120,0.0170,-0.0523,0.0003,11.0157,11.0171,0.0763,0.0000
cifar100,pall_original,c100_main_compare_v1,0,0.0,0.0,,,,False,0.4233,0.0297,0.1611,0.0013,0.0294,0.0109,0.0710,0.0212,0.2250,0.0354,-0.0443,0.0015,0.1811,0.1825,0.0763,0.0000
tinyimagenet,pall_adapter,tiny_sanity_adapter_v1,16,0.3,0.2,,,,True,0.2874,,0.0641,,-0.0001,,0.0200,,0.1120,,-0.0247,,0.0481,11.0305,0.0292,0.0296
tinyimagenet,pall_modified,tiny_sanity_modified_v1,0,0.0,0.0,,,,False,0.3302,,0.0727,,0.0203,,0.0840,,0.1000,,-0.0698,,0.4949,0.4962,0.0961,0.0000
tinyimagenet,pall_original,tiny_sanity_original_v1,0,0.0,0.0,,,,False,0.2485,,0.1446,,0.0240,,0.0620,,0.0920,,-0.0550,,0.4421,0.4435,0.0961,0.0000
