dataset,method,experiment_tag,adapter_shared_bottleneck,adapter_shared_forget_ratio,adapter_shared_protect_ratio,adapter_shared_forget_lr,adapter_shared_protect_strength,retrain_steps,adapter_train_classifier,final_avg_acc_mean,final_avg_acc_std,avg_forgetting_mean,avg_forgetting_std,Fu_mean,Fu_std,WorstDrop_mean,WorstDrop_std,Au_mean,Au_std,unlearning_score_mean,unlearning_score_std,t_retrain_mean,t_forget_total_mean,updated_param_ratio_mean,adapter_param_ratio_mean
cifar10,pall_adapter,,16,0.0,0.0,,,,True,0.8372,,0.1378,,-0.0002,,0.0000,,0.4650,,-0.0025,,0.0098,3.1077,0.0045,0.0087
cifar10,pall_adapter,,16,0.3,0.2,,,,True,0.8345,,0.1355,,-0.0008,,0.0000,,0.4600,,-0.0030,,0.0085,3.1199,0.0045,0.0087
cifar10,pall_adapter,,16,0.3,0.2,10.0,0.0,,True,0.8338,,0.1174,,0.0017,,0.0025,,0.5000,,-0.0018,,0.0084,3.1052,0.0045,0.0087
cifar10,pall_adapter,adapter_brutal_lr10_v1,16,0.3,0.2,10.0,0.0,,True,0.8019,,0.0335,,-0.0171,,-0.0070,,0.5000,,-0.0174,,0.0140,3.2028,0.0076,0.0087
cifar10,pall_adapter,adapter_c10_critical_p10_v1,16,0.05,0.1,,,,True,0.7742,0.0392,0.0560,0.0318,-0.0188,0.0024,-0.0075,0.0007,0.4720,0.0396,-0.0189,0.0020,0.0133,3.1957,0.0076,0.0087
cifar10,pall_adapter,adapter_c10_critical_v1,16,0.05,0.2,,,,True,0.7742,0.0392,0.0560,0.0318,-0.0188,0.0024,-0.0075,0.0007,0.4720,0.0396,-0.0189,0.0020,0.0134,3.2130,0.0076,0.0087
cifar10,pall_adapter,adapter_classifier_forget_v1,16,0.3,0.2,10.0,0.0,,True,0.7742,0.0392,0.0504,0.0239,-0.0188,0.0024,-0.0075,0.0007,0.5000,0.0000,-0.0189,0.0020,0.0139,3.2372,0.0076,0.0087
cifar10,pall_adapter,adapter_forget06_protect01_smoke,16,0.6,0.1,,,10,True,0.8066,,0.0099,,-0.0221,,-0.0015,,0.4820,,-0.0252,,0.1285,3.3437,0.0076,0.0087
cifar10,pall_adapter,adapter_forget07_protect005_smoke,16,0.7,0.05,,,10,True,0.8066,,0.0099,,-0.0221,,-0.0015,,0.4820,,-0.0252,,0.1268,3.3208,0.0076,0.0087
cifar10,pall_adapter,adapter_lr2_strength05_smoke,16,0.3,0.2,2.0,0.5,1,True,0.7692,,0.0362,,0.0153,,0.0970,,0.5000,,-0.0371,,0.0135,3.2314,0.0076,0.0087
cifar10,pall_adapter,adapter_lr3_strength03_smoke,16,0.3,0.2,3.0,0.3,1,True,0.7692,,0.0362,,0.0153,,0.0990,,0.5000,,-0.0381,,0.0134,3.2367,0.0076,0.0087
cifar10,pall_adapter,adapter_soft_adaptive_v1,16,0.05,0.2,,,,True,0.7742,0.0392,0.0560,0.0318,-0.0188,0.0024,-0.0075,0.0007,0.4720,0.0396,-0.0189,0.0020,0.0144,3.3242,0.0076,0.0087
cifar10,pall_adapter,adapter_soft_no_protect_v1,16,0.3,0.2,1.0,0.0,,True,0.8019,,0.0335,,-0.0171,,-0.0070,,0.5000,,-0.0174,,0.0136,3.2040,0.0076,0.0087
cifar10,pall_adapter,adapter_soft_s05_lr10_bigforget_v1,16,0.3,0.2,1.0,0.5,,True,0.8019,,0.0335,,-0.0171,,-0.0070,,0.5000,,-0.0174,,0.0134,3.2013,0.0076,0.0087
cifar10,pall_adapter,adapter_soft_s05_lr10_v1,16,0.05,0.2,1.0,0.5,,True,0.8019,,0.0335,,-0.0171,,-0.0070,,0.5000,,-0.0174,,0.0137,3.2266,0.0076,0.0087
cifar10,pall_adapter,adapter_soft_s05_v1,16,0.05,0.2,,0.5,,True,0.7742,0.0392,0.0560,0.0318,-0.0188,0.0024,-0.0075,0.0007,0.4720,0.0396,-0.0189,0.0020,0.0137,3.2958,0.0076,0.0087
cifar10,pall_adapter,debug_adapter_critical_v1,16,0.05,0.2,,,,True,0.7915,,0.0263,,-0.0070,,0.0000,,0.4605,,-0.0108,,0.0149,3.3764,0.0076,0.0087
cifar10,pall_adapter,debug_adapter_overlap_true_v1,16,0.05,0.2,,,,True,0.7915,,0.0263,,-0.0070,,0.0000,,0.4605,,-0.0108,,0.0147,3.2920,0.0076,0.0087
cifar10,pall_adapter,debug_controlled_overlap_v2,16,,,,,,True,0.7936,,0.0249,,-0.0091,,-0.0015,,0.4590,,-0.0122,,0.0753,3.1560,0.0076,0.0087
cifar10,pall_adapter,thesis_adapter_shared_critical_final_smoke,16,0.3,0.2,,,,True,0.7919,,0.0277,,-0.0074,,-0.0010,,0.4520,,-0.0107,,0.0134,3.2026,0.0076,0.0087
cifar10,pall_adapter,thesis_adapter_shared_critical_smoke,16,0.0,0.0,,,,False,0.7720,,0.0150,,-0.0020,,0.0040,,0.5000,,-0.0076,,0.0717,3.1827,0.0073,0.0087
cifar10,pall_adapter,thesis_adapter_shared_smoke,16,0.0,0.0,,,,False,0.7720,,0.0150,,-0.0020,,0.0040,,0.5000,,-0.0076,,0.0684,3.1711,0.0073,0.0087
cifar10,pall_adapter,thesis_metrics_smoke_test,0,0.0,0.0,,,,False,0.7581,,0.0050,,-0.0041,,0.0015,,0.5000,,-0.0078,,0.0738,3.1725,0.0058,0.0073
cifar100,pall_adapter,,16,0.3,0.2,10.0,0.0,,True,0.3594,,0.0926,,0.0197,,0.0660,,0.2000,,-0.0198,,0.0207,1.5766,0.0131,0.0159
cifar100,pall_adapter,adapter_c100_main_v1,16,0.3,0.2,,,,True,0.4291,0.0000,0.0742,0.0071,-0.0013,0.0034,0.0070,0.0014,0.1930,0.0693,-0.0113,0.0041,0.0202,1.6085,0.0131,0.0159
cifar100,pall_adapter,c100_main_compare_v1,16,0.3,0.2,,,,True,0.4084,0.0293,0.0853,0.0086,-0.0020,0.0024,0.0050,0.0042,0.1640,0.0283,-0.0107,0.0051,0.0186,1.6054,0.0123,0.0159
cifar100,pall_modified,c100_main_compare_v1,0,0.0,0.0,,,50,False,0.5377,0.0299,0.1045,0.0267,-0.0071,0.0021,0.0140,0.0085,0.2120,0.0170,-0.0523,0.0003,11.0157,11.0171,0.0763,0.0000
cifar100,pall_original,c100_main_compare_v1,0,0.0,0.0,,,,False,0.4233,0.0297,0.1611,0.0013,0.0294,0.0109,0.0710,0.0212,0.2250,0.0354,-0.0443,0.0015,0.1811,0.1825,0.0763,0.0000
