dataset,method,seed,deleted_event,forgotten_task,n_later_requests,chance,immediate_accuracy,final_accuracy,final_distance_to_chance,max_post_delete_accuracy,max_rebound,final_rebound,max_excess_above_chance,experiment_tag,run_path
cifar100,pall_original,0,1,0,2,0.2,0.1979999989271164,0.20000000298023224,2.980232227667301e-09,0.20399999618530273,0.00599999725818634,0.0020000040531158447,0.003999996185302723,probe_v1,runs/cifar100/T10_F3/pall_original/seed_0/20260712_194740
cifar100,pall_original,0,2,6,1,0.2,0.20000000298023224,0.19200000166893005,0.007999998331069957,0.20000000298023224,0.0,-0.008000001311302185,2.980232227667301e-09,probe_v1,runs/cifar100/T10_F3/pall_original/seed_0/20260712_194740
cifar100,pall_original,0,3,7,0,0.2,0.20000000298023224,0.20000000298023224,2.980232227667301e-09,0.20000000298023224,0.0,0.0,2.980232227667301e-09,probe_v1,runs/cifar100/T10_F3/pall_original/seed_0/20260712_194740
cifar100,pall_original,1,1,2,2,0.2,0.18199999630451202,0.20000000298023224,2.980232227667301e-09,0.20000000298023224,0.018000006675720215,0.018000006675720215,2.980232227667301e-09,probe_v1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_204605
cifar100,pall_original,1,2,1,1,0.2,0.17000000178813934,0.20000000298023224,2.980232227667301e-09,0.20000000298023224,0.030000001192092896,0.030000001192092896,2.980232227667301e-09,probe_v1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_204605
cifar100,pall_original,1,3,6,0,0.2,0.20200000703334808,0.20200000703334808,0.0020000070333480724,0.20200000703334808,0.0,0.0,0.0020000070333480724,probe_v1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_204605
cifar100,pall_modified,0,1,0,2,0.2,0.20200000703334808,0.20000000298023224,2.980232227667301e-09,0.20200000703334808,0.0,-0.0020000040531158447,0.0020000070333480724,probe_v1,runs/cifar100/T10_F3/pall_modified/seed_0/20260712_195858
cifar100,pall_modified,0,2,6,1,0.2,0.1979999989271164,0.19200000166893005,0.007999998331069957,0.1979999989271164,0.0,-0.00599999725818634,0.0,probe_v1,runs/cifar100/T10_F3/pall_modified/seed_0/20260712_195858
cifar100,pall_modified,0,3,7,0,0.2,0.20000000298023224,0.20000000298023224,2.980232227667301e-09,0.20000000298023224,0.0,0.0,2.980232227667301e-09,probe_v1,runs/cifar100/T10_F3/pall_modified/seed_0/20260712_195858
cifar100,pall_modified,1,1,2,2,0.2,0.18199999630451202,0.20399999618530273,0.003999996185302723,0.20399999618530273,0.02199999988079071,0.02199999988079071,0.003999996185302723,probe_v1,runs/cifar100/T10_F3/pall_modified/seed_1/20260712_205711
cifar100,pall_modified,1,2,1,1,0.2,0.15199999511241913,0.20000000298023224,2.980232227667301e-09,0.20000000298023224,0.04800000786781311,0.04800000786781311,2.980232227667301e-09,probe_v1,runs/cifar100/T10_F3/pall_modified/seed_1/20260712_205711
cifar100,pall_modified,1,3,6,0,0.2,0.18799999356269836,0.18799999356269836,0.012000006437301647,0.18799999356269836,0.0,0.0,0.0,probe_v1,runs/cifar100/T10_F3/pall_modified/seed_1/20260712_205711
cifar100,pall_adapter,0,1,0,2,0.2,0.20000000298023224,0.17000000178813934,0.029999998211860668,0.20000000298023224,0.0,-0.030000001192092896,2.980232227667301e-09,probe_v1,runs/cifar100/T10_F3/pall_adapter/seed_0/20260712_201029
