dataset,method,n_seeds,n_deleted_tasks,immediate_accuracy_mean,final_accuracy_mean,final_distance_to_chance_mean,max_rebound_mean,max_rebound_worst,fraction_rebound_gt_0_01,max_excess_above_chance_mean
cifar100,pall_original,2,6,0.19200000166893005,0.19900000343720117,0.0016666695475578235,0.009000000854333242,0.030000001192092896,0.3333333333333333,0.0010000025232632843
cifar100,pall_modified,2,6,0.18699999898672104,0.197333333392938,0.004000001649061835,0.011666667958100637,0.04800000786781311,0.3333333333333333,0.0010000015298525418
cifar100,pall_adapter,2,6,0.2096666693687439,0.20133333653211594,0.026000000536441803,0.002666667103767395,0.01600000262260437,0.16666666666666666,0.018333335717519116
cifar100,lora,2,6,0.19733333587646484,0.19733333587646484,0.005333335200945533,0.0,0.0,0.0,0.0013333355387051826
cifar100,clpu,2,6,0.2006666660308838,0.2006666660308838,0.01400000055631001,0.0,0.0,0.0,0.007333333293596894
cifar10,pall_original,2,6,0.499249999721845,0.49025000135103863,0.009749998648961386,0.0029166688521703086,0.016499996185302734,0.16666666666666666,0.0030000011126200357
cifar10,pall_modified,2,6,0.49824999769528705,0.499249999721845,0.0024166653553644815,0.004666666189829509,0.01850000023841858,0.16666666666666666,0.0033333301544189453
cifar10,pall_adapter,2,6,0.49908333520094555,0.5058333327372869,0.009833330909411112,0.009333327412605286,0.04899999499320984,0.16666666666666666,0.009666661421457926
cifar10,lora,2,6,0.49291666845480603,0.49291666845480603,0.00708333154519399,0.0,0.0,0.0,0.0
cifar10,clpu,2,6,0.5027499943971634,0.5027499943971634,0.019750004013379414,0.0,0.0,0.0,0.011249999205271402
