dataset,method,seed,deleted_event,forgotten_task,observation_event,requests_after_deletion,forgotten_accuracy,chance,rebound_from_immediate,experiment_tag,run_path
cifar100,pall_original,0,1,0,1,0,0.1979999989271164,0.2,0.0,probe_v1,runs/cifar100/T10_F3/pall_original/seed_0/20260712_194740
cifar100,pall_original,0,1,0,2,1,0.20399999618530273,0.2,0.00599999725818634,probe_v1,runs/cifar100/T10_F3/pall_original/seed_0/20260712_194740
cifar100,pall_original,0,1,0,3,2,0.20000000298023224,0.2,0.0020000040531158447,probe_v1,runs/cifar100/T10_F3/pall_original/seed_0/20260712_194740
cifar100,pall_original,0,2,6,2,0,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/pall_original/seed_0/20260712_194740
cifar100,pall_original,0,2,6,3,1,0.19200000166893005,0.2,-0.008000001311302185,probe_v1,runs/cifar100/T10_F3/pall_original/seed_0/20260712_194740
cifar100,pall_original,0,3,7,3,0,0.20000000298023224,0.2,0.0,probe_v1,runs/cifar100/T10_F3/pall_original/seed_0/20260712_194740
cifar100,pall_original,1,1,2,1,0,0.18199999630451202,0.2,0.0,probe_v1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_204605
cifar100,pall_original,1,1,2,2,1,0.20000000298023224,0.2,0.018000006675720215,probe_v1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_204605
cifar100,pall_original,1,1,2,3,2,0.20000000298023224,0.2,0.018000006675720215,probe_v1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_204605
cifar100,pall_original,1,2,1,2,0,0.17000000178813934,0.2,0.0,probe_v1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_204605
cifar100,pall_original,1,2,1,3,1,0.20000000298023224,0.2,0.030000001192092896,probe_v1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_204605
cifar100,pall_original,1,3,6,3,0,0.20200000703334808,0.2,0.0,probe_v1,runs/cifar100/T10_F3/pall_original/seed_1/20260712_204605
cifar100,pall_modified,0,1,0,1,0,0.20200000703334808,0.2,0.0,probe_v1,runs/cifar100/T10_F3/pall_modified/seed_0/20260712_195858
